"","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"Socs1",29,75,38,13,76,43,86,91,101,79,88,94
"Socs2",2368,2421,2761,2240,5387,2631,5066,6169,3329,2544,2704,1838
"Socs3",3874,4943,3497,2742,185,84,225,275,272,293,353,438
"Socs4",619,578,489,406,814,384,638,761,642,697,620,652
"Socs5",379,308,334,255,656,259,522,635,620,820,838,1049
"Socs6",1214,1090,978,820,2009,932,1490,1877,1696,1638,1473,1724
"Socs7",1032,1169,860,692,1327,706,1132,1367,1281,1385,1261,1277
"Sod1",6703,8851,7060,5879,6840,3045,5789,6916,4873,4620,5793,5621
"Sod2",4439,5019,4143,3469,2839,1442,3351,4404,2172,1866,1756,1694
"Sod3",4,4,10,2,1,3,2,0,0,1,1,3
"Soga1",657,671,645,457,1917,924,1904,2215,2694,3382,4033,4644
"Soga3",412,566,293,298,571,288,450,463,589,443,372,237
"Sohlh1",3,3,2,1,2,1,1,3,1,0,0,0
"Sohlh2",160,226,137,137,47,38,71,95,40,26,9,9
"Son",13319,14388,12975,10208,19289,9371,16962,20255,15597,15171,15953,17107
"Sorbs1",661,834,731,661,856,568,1013,1385,754,833,801,849
"Sorbs2",58,81,76,50,206,129,145,202,273,226,115,53
"Sorbs2os",0,0,3,0,0,0,0,0,1,0,0,0
"Sorbs3",76,90,86,49,353,152,310,361,395,597,708,830
"Sorcs1",0,3,1,1,81,32,49,52,248,86,57,12
"Sorcs2",69,47,46,28,135,66,134,128,131,155,132,148
"Sorcs3",2,6,5,2,1,1,2,1,8,8,3,9
"Sord",297,458,392,318,982,474,884,1131,419,324,314,275
"Sorl1",2041,1924,1777,1407,1334,622,1485,1618,1121,1028,922,1025
"Sort1",875,927,798,712,4187,2106,3540,4033,3862,3887,3823,4525
"Sos1",3638,3204,3202,2609,3765,1941,3622,4320,2702,2759,2647,2703
"Sos2",447,320,288,241,940,488,791,1003,1021,1326,1165,1341
"Sost",0,4,3,3,5,2,1,6,5,10,8,5
"Sostdc1",0,0,0,0,0,1,0,3,6,1,3,0
"Sowaha",0,6,2,6,12,3,6,5,7,10,13,9
"Sowahb",11,12,19,22,71,35,69,104,47,118,131,252
"Sowahc",184,264,237,177,521,271,438,527,455,547,438,471
"Sowahd",0,1,0,0,0,0,0,1,1,6,6,12
"Sox1",125,129,75,88,762,202,424,572,1903,682,596,83
"Sox10",5,3,4,3,19,12,24,21,8,34,31,26
"Sox11",1354,1563,1438,1233,7149,3697,5626,6051,11641,11371,7494,7464
"Sox12",1467,1513,1309,985,1734,830,1766,1823,2402,2034,2603,2665
"Sox13",900,1033,870,681,1403,716,1327,1706,1974,1418,1537,1253
"Sox14",0,0,1,0,16,3,32,27,21,10,18,3
"Sox15",515,556,524,471,108,73,284,341,133,62,132,98
"Sox17",6,14,8,3,22,9,26,32,591,1602,972,2099
"Sox18",24,28,18,12,98,62,46,60,57,37,55,107
"Sox2",11381,13820,11769,9704,10161,5036,8527,10462,7520,3077,3000,1172
"Sox21",70,67,64,65,117,52,62,126,516,224,140,124
"Sox2ot",40,74,49,47,44,30,48,73,43,17,16,5
"Sox3",22,49,17,14,805,297,600,669,505,198,180,72
"Sox30",13,7,23,13,9,4,8,14,9,17,11,6
"Sox4",454,670,518,375,3199,1448,2327,2494,3753,4350,4497,5578
"Sox5",7,7,9,8,36,23,39,38,132,87,42,38
"Sox5os3",0,0,0,0,0,0,0,0,0,0,0,0
"Sox6",15,10,14,16,152,85,158,218,269,103,90,103
"Sox7",90,93,27,19,79,57,30,47,70,258,127,343
"Sox8",18,26,11,11,42,21,32,45,28,28,33,39
"Sox9",21,18,21,18,107,84,74,79,530,808,773,1055
"Sp1",10696,11497,9964,7826,11729,6003,10425,12096,9411,9069,7716,7331
"Sp100",0,0,1,1,2,2,2,2,1,1,1,2
"Sp110",2,2,0,3,9,3,5,4,4,0,1,0
"Sp140",2,4,8,2,10,6,7,5,13,15,14,16
"Sp2",1316,1648,1252,1049,1254,648,1177,1353,981,946,1192,1169
