,MD-R-EB-1,MD-R-EB-2,MD-R-EB-3,MD-R-EB-4,MD-R-EB-5,MD-R-EB-6,MD-R-EB-7,MD-R-EB-8,MD-R-EB-9,MD-R-EB-10,MD-R-EB-11,MD-R-EB-12
Champ1,4373,5220,4502,2568,4957,3027,3752,4442,3922,4600,3913,3802
Gm47277,1,4,1,1,2,2,3,2,5,1,2,0
Gm24698,8,2,6,5,6,3,7,5,3,3,8,6
Coprs,871,1572,1458,729,1427,697,919,1089,789,801,736,961
Gm7676,3,3,4,0,2,1,4,2,8,3,2,2
Fbxo25,842,880,701,423,791,305,408,388,361,695,709,614
Tdrp,560,1109,806,323,707,456,512,633,586,403,292,315
Gm5907,1,5,6,1,5,1,8,4,5,1,3,0
Erich1,582,680,548,304,581,386,553,591,588,506,510,433
Gm45520,20,19,15,16,8,11,7,15,14,8,14,17
Gm10699,55,65,58,34,59,30,61,55,50,68,74,50
Dlgap2,50,36,25,7,14,2,8,4,5,58,65,18
Gm3160,3,1,2,0,1,0,3,1,3,4,3,2
Gm26184,0,0,0,0,0,1,0,0,0,1,0,0
Gm44347,0,0,0,0,0,0,0,0,0,0,0,0
C030037F17Rik,0,0,0,0,0,0,0,0,0,0,0,0
Cln8,1423,1784,1509,728,1398,861,1099,1160,959,1433,1393,1229
Arhgef10,638,859,749,405,729,422,498,546,501,652,651,693
Gm16350,4,5,2,2,8,2,2,1,3,1,6,4
Kbtbd11,195,267,219,100,191,188,213,197,165,335,366,289
5830468F06Rik,6,1,1,0,0,0,3,4,1,2,4,2
Gm37844,9,2,8,3,5,5,9,6,9,8,7,9
BB014433,0,0,0,1,0,2,3,1,0,0,0,0
Gm45276,0,0,0,0,0,0,1,0,0,0,0,0
Gm45274,0,0,0,0,0,0,0,0,0,0,0,0
Myom2,6,67,35,3,18,32,57,31,15,3,17,9
Gm15678,0,0,0,0,0,1,1,0,1,0,0,0
Gm7706,0,0,0,0,0,0,0,0,0,0,0,0
Gm45271,0,0,0,0,0,0,0,0,0,0,0,0
Gm24231,0,0,0,0,0,0,0,0,0,0,0,0
Gm35392,0,0,0,0,0,0,0,0,0,0,0,0
Gm25871,0,0,0,0,0,0,0,0,0,0,0,0
Gm25255,0,0,0,0,0,0,0,0,0,0,0,0
Gm45678,0,0,0,0,0,0,0,0,0,0,0,0
Gm45677,0,0,0,0,0,0,0,0,0,0,0,0
Gm35453,0,0,0,0,0,0,0,0,0,0,0,0
Gm45676,0,0,0,0,0,0,0,0,0,0,0,0
Gm45408,0,0,0,0,0,0,0,0,0,0,0,0
Gm45675,0,0,0,0,0,0,0,0,0,0,0,0
Gm7128,1,0,2,0,0,1,0,0,2,2,0,1
Csmd1,3,6,4,0,2,7,11,12,3,2,0,0
Mir3106,0,0,0,0,0,0,0,0,0,0,0,0
Gm16346,0,0,0,0,0,0,0,0,0,0,1,0
Gm16347,0,0,0,0,0,0,0,0,0,0,0,0
Gm45393,0,1,0,0,0,0,0,0,0,0,0,0
Gm45394,0,0,0,0,0,0,0,0,0,0,0,0
Gm25278,0,0,0,0,0,0,0,0,0,0,0,0
3110080E11Rik,0,0,0,0,1,0,0,0,0,0,0,0
Gm25665,0,0,0,0,0,0,0,0,0,0,0,0
1700014L14Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm24469,0,0,0,0,0,0,0,0,0,0,0,0
Mcph1,2438,3292,2681,1416,2730,2457,3097,3623,3325,2462,2330,2178
Gm25763,3,12,2,3,11,5,4,4,3,6,5,4
Gm16725,33,62,35,22,43,21,44,37,40,32,29,22
Gm17149,8,15,10,9,12,7,21,8,11,6,13,10
Angpt2,206,253,202,119,250,170,243,221,173,219,159,173
Agpat5,2249,3108,2674,1744,3215,1912,2394,2944,2883,2256,3036,2668
Gm45493,111,149,129,65,144,96,131,139,130,137,159,123
Gm35934,0,3,2,0,2,7,11,5,7,0,0,0
Gm45770,2,0,4,4,2,21,23,16,13,4,1,3
Xkr5,467,592,602,304,666,492,701,675,619,593,478,567
Gm22551,0,0,0,0,0,0,0,0,0,0,0,0
Defb40,2,4,2,1,1,4,1,5,2,0,2,0
Defb37,0,1,0,0,1,2,1,2,3,0,0,2
Defb38,0,0,0,0,0,1,1,0,0,0,1,0
Gm15366,0,5,1,0,2,2,2,2,3,0,0,1
Defb39,0,1,0,0,0,2,0,1,0,0,0,0
Defb12,0,0,0,1,0,0,0,0,0,0,0,0
Defb34,0,0,0,0,0,0,0,0,0,0,0,0
Spag11b,0,2,0,0,0,0,1,0,1,0,0,0
Gm45826,0,0,0,0,0,0,0,0,1,0,0,0
Spag11a,0,0,0,0,0,0,0,0,0,0,0,0
Gm39139,0,2,1,2,1,0,0,3,0,0,0,0
Defb14,0,0,0,0,0,0,0,0,0,0,0,0
Defb4,0,0,0,0,0,0,0,0,0,0,0,0
Defa-ps12,0,0,0,0,0,0,0,0,0,0,0,0
Defb6,0,0,0,0,0,0,0,0,0,0,0,0
Defb46,0,0,0,0,0,0,0,0,0,0,0,0
Defb5,0,0,0,0,0,0,0,0,0,0,0,0
Gm15357,0,0,0,0,0,0,0,0,0,0,0,0
Defb3,0,2,0,0,0,0,0,0,0,0,0,0
Defa-ps13,0,0,0,0,0,0,0,0,0,0,0,0
Defa-ps14,0,1,0,0,0,0,0,0,0,0,0,0
Defb8,0,0,0,0,0,0,0,0,0,0,0,0
Defa-ps15,0,0,0,0,0,0,0,0,0,0,0,0
Rpl19-ps11,3,6,2,1,6,4,3,2,3,8,4,2
Gm27288,0,0,0,0,0,0,0,0,0,0,0,0
Defb7,0,0,0,0,0,0,0,0,0,0,0,0
Gm15358,0,0,0,0,0,0,0,0,0,0,0,0
Gm27852,0,0,0,0,0,0,0,0,0,0,0,0
Gm16425,24,58,48,31,65,16,25,39,32,30,26,37
Selenot-ps,1,0,1,2,2,2,2,1,0,0,1,1
Gm35998,0,0,0,0,0,1,0,0,0,0,0,0
Gm6483,80,69,52,39,63,46,61,60,64,86,106,62
Gm7760,1,1,0,0,0,0,0,0,0,0,0,0
4930467E23Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm10060,67,40,29,8,24,20,20,28,11,71,50,34
Gm31371,0,0,0,0,0,0,0,0,0,0,0,0
Gm20786,2,1,0,0,2,1,0,0,1,1,1,0
Gm40466,27,38,31,19,37,31,43,84,51,16,24,40
Gm45754,0,1,1,1,0,1,2,1,0,1,0,0
Gm20778,0,3,0,0,0,0,0,0,0,0,0,0
Gm21769,18,20,15,4,15,13,10,14,5,23,7,15
Gm21811,146,109,79,43,118,82,99,111,131,126,133,111
6820431F20Rik,183,153,141,77,158,123,128,166,188,175,201,125
Gm15319,0,0,0,2,0,0,0,0,0,0,0,0
Gm7807,6,1,1,0,0,1,1,0,4,0,1,0
2610005L07Rik,212,107,100,59,92,70,91,125,116,190,170,98
Gm21182,20,22,17,12,15,17,10,21,24,20,22,23
Gm21092,67,48,37,25,40,29,38,31,54,64,57,50
Gm21112,3,0,0,1,2,1,0,1,0,0,0,0
Gm21119,1,0,0,0,0,0,0,0,0,0,0,0
Gm20946,0,0,0,0,0,0,0,0,0,0,0,0
Gm20797,0,0,0,0,0,0,0,2,0,0,0,0
